timestamp,date,blood_pressure,label
1610637997.135015,2021-01-14T15:26:37.135015Z,96,other
1610637997.150015,2021-01-14T15:26:37.150015Z,107,other
1610637997.1650152,2021-01-14T15:26:37.165015Z,119,other
1610637997.180015,2021-01-14T15:26:37.180015Z,131,other
1610637997.1950154,2021-01-14T15:26:37.195015Z,142,other
1610637997.2100155,2021-01-14T15:26:37.210016Z,152,other
1610637997.2250156,2021-01-14T15:26:37.225016Z,159,other
1610637997.2400155,2021-01-14T15:26:37.240016Z,164,other
1610637997.255016,2021-01-14T15:26:37.255016Z,168,other
1610637997.270016,2021-01-14T15:26:37.270016Z,169,other
1610637997.285016,2021-01-14T15:26:37.285016Z,169,other
1610637997.3000162,2021-01-14T15:26:37.300016Z,168,other
1610637997.3150165,2021-01-14T15:26:37.315016Z,166,other
1610637997.3300164,2021-01-14T15:26:37.330016Z,163,other
1610637997.3450165,2021-01-14T15:26:37.345016Z,160,other
1610637997.3600166,2021-01-14T15:26:37.360017Z,157,other
1610637997.3750167,2021-01-14T15:26:37.375017Z,154,other
1610637997.3900168,2021-01-14T15:26:37.390017Z,152,other
1610637997.405017,2021-01-14T15:26:37.405017Z,150,other
1610637997.420017,2021-01-14T15:26:37.420017Z,149,other
1610637997.435017,2021-01-14T15:26:37.435017Z,148,other
1610637997.4500172,2021-01-14T15:26:37.450017Z,148,other
1610637997.4650173,2021-01-14T15:26:37.465017Z,148,other
1610637997.4800174,2021-01-14T15:26:37.480017Z,148,other
1610637997.4950175,2021-01-14T15:26:37.495018Z,148,other
1610637997.5100176,2021-01-14T15:26:37.510018Z,148,other
1610637997.5250175,2021-01-14T15:26:37.525018Z,147,other
1610637997.5400178,2021-01-14T15:26:37.540018Z,146,other
1610637997.555018,2021-01-14T15:26:37.555018Z,144,other
1610637997.570018,2021-01-14T15:26:37.570018Z,142,other
1610637997.5850182,2021-01-14T15:26:37.585018Z,139,other
1610637997.6000185,2021-01-14T15:26:37.600018Z,136,other
1610637997.6150184,2021-01-14T15:26:37.615018Z,133,other
1610637997.6300185,2021-01-14T15:26:37.630018Z,129,other
1610637997.6450186,2021-01-14T15:26:37.645019Z,126,other
1610637997.6600187,2021-01-14T15:26:37.660019Z,123,other
1610637997.6750188,2021-01-14T15:26:37.675019Z,120,other
1610637997.690019,2021-01-14T15:26:37.690019Z,117,other
1610637997.705019,2021-01-14T15:26:37.705019Z,114,other
1610637997.720019,2021-01-14T15:26:37.720019Z,114,other
1610637997.7350192,2021-01-14T15:26:37.735019Z,115,other
1610637997.7500193,2021-01-14T15:26:37.750019Z,120,other
1610637997.7650194,2021-01-14T15:26:37.765019Z,128,other
1610637997.7800195,2021-01-14T15:26:37.780020Z,138,other
1610637997.7950196,2021-01-14T15:26:37.795020Z,149,other
1610637997.8100195,2021-01-14T15:26:37.810020Z,159,other
1610637997.8250198,2021-01-14T15:26:37.825020Z,168,other
1610637997.84002,2021-01-14T15:26:37.840020Z,175,other
1610637997.85502,2021-01-14T15:26:37.855020Z,179,other
1610637997.8700202,2021-01-14T15:26:37.870020Z,181,other
1610637997.8850205,2021-01-14T15:26:37.885020Z,181,other
1610637997.9000204,2021-01-14T15:26:37.900020Z,179,other
1610637997.9150205,2021-01-14T15:26:37.915020Z,176,other
1610637997.9300206,2021-01-14T15:26:37.930021Z,172,other
1610637997.945021,2021-01-14T15:26:37.945021Z,167,other
1610637997.9600208,2021-01-14T15:26:37.960021Z,162,other
1610637997.975021,2021-01-14T15:26:37.975021Z,156,other
1610637997.990021,2021-01-14T15:26:37.990021Z,151,other
1610637998.005021,2021-01-14T15:26:38.005021Z,146,other
